ECG;EMG;EDA;CATEGORY
-0.0146484375;500.0;161.0;post_test_sensors_2
-0.029296875;497.0;162.0;post_test_sensors_2
-0.04687499999999999;496.0;162.0;post_test_sensors_2
-0.0146484375;500.0;157.0;post_test_sensors_2
-0.005859374999999999;504.0;157.0;post_test_sensors_2
0.0703125;524.0;161.0;post_test_sensors_2
0.06445312499999999;472.0;160.0;post_test_sensors_2
-0.052734375;470.0;162.0;post_test_sensors_2
-0.052734375;468.0;157.0;post_test_sensors_2
-0.011718749999999998;509.0;157.0;post_test_sensors_2
-0.05566406249999999;482.0;157.0;post_test_sensors_2
-0.005859374999999999;475.0;161.0;post_test_sensors_2
-0.0380859375;500.0;162.0;post_test_sensors_2
0.0703125;499.0;157.0;post_test_sensors_2
-0.0205078125;527.0;157.0;post_test_sensors_2
0.04687499999999999;529.0;158.0;post_test_sensors_2
-0.0234375;505.0;162.0;post_test_sensors_2
-0.029296875;515.0;160.0;post_test_sensors_2
0.33984375;496.0;160.0;post_test_sensors_2
0.0908203125;517.0;162.0;post_test_sensors_2
-0.0146484375;503.0;157.0;post_test_sensors_2
0.005859374999999999;508.0;162.0;post_test_sensors_2
-0.0029296875;485.0;160.0;post_test_sensors_2
-0.0849609375;520.0;157.0;post_test_sensors_2
0.0732421875;482.0;162.0;post_test_sensors_2
-0.0703125;511.0;159.0;post_test_sensors_2
-0.0205078125;526.0;157.0;post_test_sensors_2
-0.0732421875;505.0;162.0;post_test_sensors_2
-0.38671875;511.0;158.0;post_test_sensors_2
-0.03222656249999998;512.0;161.0;post_test_sensors_2
-0.017578125;488.0;157.0;post_test_sensors_2
0.0703125;520.0;161.0;post_test_sensors_2
-0.011718749999999998;511.0;160.0;post_test_sensors_2
-0.011718749999999998;496.0;160.0;post_test_sensors_2
0.0029296875;505.0;160.0;post_test_sensors_2
-0.0146484375;532.0;157.0;post_test_sensors_2
0.345703125;530.0;157.0;post_test_sensors_2
-0.05566406249999999;503.0;159.0;post_test_sensors_2
-0.087890625;519.0;159.0;post_test_sensors_2
0.099609375;520.0;159.0;post_test_sensors_2
-0.0087890625;495.0;158.0;post_test_sensors_2
-0.011718749999999998;527.0;157.0;post_test_sensors_2
-0.0234375;511.0;157.0;post_test_sensors_2
0.0;503.0;161.0;post_test_sensors_2
-0.03515625;530.0;157.0;post_test_sensors_2
0.32812499999999994;479.0;157.0;post_test_sensors_2
0.287109375;511.0;157.0;post_test_sensors_2
0.275390625;525.0;159.0;post_test_sensors_2
0.4013671875;530.0;157.0;post_test_sensors_2
-1.37109375;521.0;158.0;post_test_sensors_2
-0.017578125;504.0;162.0;post_test_sensors_2
0.2080078125;494.0;162.0;post_test_sensors_2
-0.0146484375;473.0;161.0;post_test_sensors_2
0.0732421875;487.0;160.0;post_test_sensors_2
0.0087890625;479.0;157.0;post_test_sensors_2
-0.07910156249999999;477.0;160.0;post_test_sensors_2
-0.011718749999999998;500.0;160.0;post_test_sensors_2
-0.052734375;530.0;157.0;post_test_sensors_2
-0.03515625;533.0;157.0;post_test_sensors_2
0.011718749999999998;511.0;162.0;post_test_sensors_2
0.0087890625;492.0;161.0;post_test_sensors_2
-0.0205078125;504.0;157.0;post_test_sensors_2
-0.0205078125;478.0;157.0;post_test_sensors_2
-0.0615234375;518.0;157.0;post_test_sensors_2
0.228515625;508.0;162.0;post_test_sensors_2
-0.0703125;476.0;159.0;post_test_sensors_2
-0.0146484375;508.0;162.0;post_test_sensors_2
-0.05859375;488.0;157.0;post_test_sensors_2
-0.09375;493.0;157.0;post_test_sensors_2
-0.011718749999999998;480.0;157.0;post_test_sensors_2
0.0029296875;515.0;160.0;post_test_sensors_2
-0.0263671875;512.0;160.0;post_test_sensors_2
-0.0380859375;534.0;160.0;post_test_sensors_2
-0.0146484375;507.0;161.0;post_test_sensors_2
-0.017578125;485.0;161.0;post_test_sensors_2
0.0;462.0;157.0;post_test_sensors_2
-0.0234375;520.0;158.0;post_test_sensors_2
-0.0205078125;506.0;162.0;post_test_sensors_2
0.0205078125;537.0;157.0;post_test_sensors_2
-0.0263671875;491.0;161.0;post_test_sensors_2
0.111328125;534.0;157.0;post_test_sensors_2
0.0029296875;511.0;161.0;post_test_sensors_2
0.005859374999999999;541.0;157.0;post_test_sensors_2
0.0;520.0;162.0;post_test_sensors_2
-0.580078125;492.0;162.0;post_test_sensors_2
-0.64453125;517.0;160.0;post_test_sensors_2
0.1845703125;486.0;162.0;post_test_sensors_2
0.09375;496.0;160.0;post_test_sensors_2
-0.0087890625;481.0;157.0;post_test_sensors_2
-0.0146484375;518.0;157.0;post_test_sensors_2
-0.0029296875;504.0;160.0;post_test_sensors_2
0.05566406249999999;521.0;161.0;post_test_sensors_2
-0.017578125;505.0;162.0;post_test_sensors_2
-0.017578125;492.0;159.0;post_test_sensors_2
-0.0087890625;496.0;162.0;post_test_sensors_2
0.011718749999999998;445.0;157.0;post_test_sensors_2
0.017578125;505.0;160.0;post_test_sensors_2
0.28125;527.0;157.0;post_test_sensors_2
-0.0087890625;506.0;161.0;post_test_sensors_2
-0.06738281249999999;508.0;160.0;post_test_sensors_2
-0.0380859375;508.0;162.0;post_test_sensors_2
-0.0205078125;505.0;161.0;post_test_sensors_2
-0.0146484375;507.0;157.0;post_test_sensors_2
-0.0439453125;536.0;158.0;post_test_sensors_2
0.3515625;515.0;161.0;post_test_sensors_2
-0.029296875;494.0;162.0;post_test_sensors_2
-0.0234375;479.0;162.0;post_test_sensors_2
